recording,window,slot,channel,animal,genotype
356__2,14777,Ch C,LVis,356,KO
356__2,14777,Ch D,RHip,356,KO
356__2,14777,Ch E,RMot,356,KO
356__2,14777,Ch F,LMot,356,KO
356__2,14777,Ch G,RBar,356,KO
356__2,14777,Ch H,LHip,356,KO
356__2,17128,Ch A,LHip,356,KO
356__2,17128,Ch B,RHip,356,KO
356__2,17128,Ch C,RVis,356,KO
356__2,17128,Ch D,RBar,356,KO
356__2,17128,Ch E,LBar,356,KO
356__2,17128,Ch F,LVis,356,KO
356__2,17128,Ch G,LMot,356,KO
356__2,17128,Ch H,RMot,356,KO
385__0,135,Ch A,RMot,385,KO
385__0,135,Ch B,LBar,385,KO
385__0,135,Ch C,LHip,385,KO
385__0,135,Ch D,RBar,385,KO
385__0,135,Ch E,RVis,385,KO
385__0,135,Ch F,LVis,385,KO
385__0,135,Ch G,LMot,385,KO
385__0,135,Ch H,RHip,385,KO
385__0,1582,Ch A,LBar,385,KO
385__0,1582,Ch B,RBar,385,KO
385__0,1582,Ch C,RMot,385,KO
385__0,1582,Ch D,LHip,385,KO
385__0,1582,Ch E,RHip,385,KO
385__0,1582,Ch F,RVis,385,KO
385__0,1582,Ch G,LMot,385,KO
385__0,1582,Ch H,LVis,385,KO
385__0,3395,Ch A,LBar,385,KO
385__0,3395,Ch B,RHip,385,KO
385__0,3395,Ch C,LHip,385,KO
385__0,3395,Ch D,RMot,385,KO
385__0,3395,Ch E,RVis,385,KO
385__0,3395,Ch F,LVis,385,KO
385__0,3395,Ch G,LMot,385,KO
385__0,3395,Ch H,RBar,385,KO
385__0,3733,Ch A,RVis,385,KO
385__0,3733,Ch B,RBar,385,KO
385__0,3733,Ch C,LHip,385,KO
385__0,3733,Ch D,LVis,385,KO
385__0,3733,Ch E,LMot,385,KO
385__0,3733,Ch F,RHip,385,KO
385__0,3733,Ch G,RMot,385,KO
385__0,3733,Ch H,LBar,385,KO
385__0,8989,Ch A,RBar,385,KO
385__0,8989,Ch B,LVis,385,KO
385__0,8989,Ch C,RMot,385,KO
385__0,8989,Ch D,LMot,385,KO
385__0,8989,Ch E,RHip,385,KO
385__0,8989,Ch F,RVis,385,KO
385__0,8989,Ch G,LBar,385,KO
385__0,8989,Ch H,LHip,385,KO
385__0,9710,Ch A,RVis,385,KO
385__0,9710,Ch B,LHip,385,KO
385__0,9710,Ch C,LMot,385,KO
385__0,9710,Ch D,LVis,385,KO
385__0,9710,Ch E,RBar,385,KO
385__0,9710,Ch F,RMot,385,KO
385__0,9710,Ch G,RHip,385,KO
385__0,9710,Ch H,LBar,385,KO
385__0,11887,Ch A,RVis,385,KO
385__0,11887,Ch B,RBar,385,KO
385__0,11887,Ch C,RMot,385,KO
385__0,11887,Ch D,LMot,385,KO
385__0,11887,Ch E,LVis,385,KO
385__0,11887,Ch F,RHip,385,KO
385__0,11887,Ch G,LHip,385,KO
385__0,11887,Ch H,LBar,385,KO
385__0,14080,Ch A,LMot,385,KO
385__0,14080,Ch B,LBar,385,KO
385__0,14080,Ch C,RMot,385,KO
385__0,14080,Ch D,LHip,385,KO
385__0,14080,Ch E,RHip,385,KO
385__0,14080,Ch F,RBar,385,KO
385__0,14080,Ch G,LVis,385,KO
385__0,14080,Ch H,RVis,385,KO
385__0,14336,Ch A,RBar,385,KO
385__0,14336,Ch B,LBar,385,KO
385__0,14336,Ch C,LMot,385,KO
385__0,14336,Ch D,LHip,385,KO
385__0,14336,Ch E,RHip,385,KO
385__0,14336,Ch F,LVis,385,KO
385__0,14336,Ch G,RMot,385,KO
385__0,14336,Ch H,RVis,385,KO
385__1,1327,Ch A,LBar,385,KO
385__1,1327,Ch B,LMot,385,KO
385__1,1327,Ch C,LVis,385,KO
385__1,1327,Ch D,RBar,385,KO
385__1,1327,Ch E,RVis,385,KO
385__1,1327,Ch F,RMot,385,KO
385__1,1327,Ch G,LHip,385,KO
385__1,1327,Ch H,RHip,385,KO
385__1,3065,Ch A,RHip,385,KO
385__1,3065,Ch B,LMot,385,KO
385__1,3065,Ch C,RBar,385,KO
385__1,3065,Ch D,LHip,385,KO
385__1,3065,Ch E,LVis,385,KO
385__1,3065,Ch F,RMot,385,KO
385__1,3065,Ch G,RVis,385,KO
385__1,3065,Ch H,LBar,385,KO
385__1,3513,Ch A,RMot,385,KO
385__1,3513,Ch B,RBar,385,KO
385__1,3513,Ch C,LHip,385,KO
385__1,3513,Ch D,LVis,385,KO
385__1,3513,Ch E,RVis,385,KO
385__1,3513,Ch F,LBar,385,KO
385__1,3513,Ch G,RHip,385,KO
385__1,3513,Ch H,LMot,385,KO
385__1,6516,Ch A,LVis,385,KO
385__1,6516,Ch B,RBar,385,KO
385__1,6516,Ch C,RMot,385,KO
385__1,6516,Ch D,RHip,385,KO
385__1,6516,Ch E,LBar,385,KO
385__1,6516,Ch F,LMot,385,KO
385__1,6516,Ch G,LHip,385,KO
385__1,6516,Ch H,RVis,385,KO
385__1,10393,Ch A,LHip,385,KO
385__1,10393,Ch B,RVis,385,KO
385__1,10393,Ch C,RBar,385,KO
385__1,10393,Ch D,LVis,385,KO
385__1,10393,Ch E,LBar,385,KO
385__1,10393,Ch F,RMot,385,KO
385__1,10393,Ch G,RHip,385,KO
385__1,10393,Ch H,LMot,385,KO
385__1,10503,Ch A,RMot,385,KO
385__1,10503,Ch B,LHip,385,KO
385__1,10503,Ch C,LBar,385,KO
385__1,10503,Ch D,LVis,385,KO
385__1,10503,Ch E,RHip,385,KO
385__1,10503,Ch F,RBar,385,KO
385__1,10503,Ch G,RVis,385,KO
385__1,10503,Ch H,LMot,385,KO
385__1,11135,Ch A,LBar,385,KO
385__1,11135,Ch B,RHip,385,KO
385__1,11135,Ch C,RMot,385,KO
385__1,11135,Ch D,RVis,385,KO
385__1,11135,Ch E,LVis,385,KO
385__1,11135,Ch F,LMot,385,KO
385__1,11135,Ch G,RBar,385,KO
385__1,11135,Ch H,LHip,385,KO
385__1,17127,Ch A,RVis,385,KO
385__1,17127,Ch B,RBar,385,KO
385__1,17127,Ch C,RHip,385,KO
385__1,17127,Ch D,LHip,385,KO
385__1,17127,Ch E,LMot,385,KO
385__1,17127,Ch F,RMot,385,KO
385__1,17127,Ch G,LBar,385,KO
385__1,17127,Ch H,LVis,385,KO
385__2,35,Ch A,LMot,385,KO
385__2,35,Ch B,LHip,385,KO
385__2,35,Ch C,RVis,385,KO
385__2,35,Ch D,LBar,385,KO
385__2,35,Ch E,RHip,385,KO
385__2,35,Ch F,RBar,385,KO
385__2,35,Ch G,LVis,385,KO
385__2,35,Ch H,RMot,385,KO
385__2,1628,Ch A,LVis,385,KO
385__2,1628,Ch B,RHip,385,KO
385__2,1628,Ch C,LMot,385,KO
385__2,1628,Ch D,RVis,385,KO
385__2,1628,Ch E,LBar,385,KO
385__2,1628,Ch F,RMot,385,KO
385__2,1628,Ch G,RBar,385,KO
385__2,1628,Ch H,LHip,385,KO
385__2,1758,Ch A,LHip,385,KO
385__2,1758,Ch B,RMot,385,KO
385__2,1758,Ch C,RHip,385,KO
385__2,1758,Ch D,RVis,385,KO
385__2,1758,Ch E,LMot,385,KO
385__2,1758,Ch F,RBar,385,KO
385__2,1758,Ch G,LBar,385,KO
385__2,1758,Ch H,LVis,385,KO
385__2,2708,Ch A,RMot,385,KO
385__2,2708,Ch B,LVis,385,KO
385__2,2708,Ch C,RBar,385,KO
385__2,2708,Ch D,RHip,385,KO
385__2,2708,Ch E,LBar,385,KO
385__2,2708,Ch F,LMot,385,KO
385__2,2708,Ch G,RVis,385,KO
385__2,2708,Ch H,LHip,385,KO
385__2,2832,Ch A,RBar,385,KO
385__2,2832,Ch B,RVis,385,KO
385__2,2832,Ch C,LMot,385,KO
385__2,2832,Ch D,RHip,385,KO
385__2,2832,Ch E,LBar,385,KO
385__2,2832,Ch F,RMot,385,KO
385__2,2832,Ch G,LVis,385,KO
385__2,2832,Ch H,LHip,385,KO
385__2,3213,Ch A,RMot,385,KO
385__2,3213,Ch B,RBar,385,KO
385__2,3213,Ch C,RVis,385,KO
385__2,3213,Ch D,LBar,385,KO
385__2,3213,Ch E,LMot,385,KO
385__2,3213,Ch F,LHip,385,KO
385__2,3213,Ch G,RHip,385,KO
385__2,3213,Ch H,LVis,385,KO
385__2,3499,Ch A,RMot,385,KO
385__2,3499,Ch B,LMot,385,KO
385__2,3499,Ch C,RVis,385,KO
385__2,3499,Ch D,LHip,385,KO
385__2,3499,Ch E,LVis,385,KO
385__2,3499,Ch F,RBar,385,KO
385__2,3499,Ch G,RHip,385,KO
385__2,3499,Ch H,LBar,385,KO
385__2,4602,Ch A,RMot,385,KO
385__2,4602,Ch B,LMot,385,KO
385__2,4602,Ch C,RBar,385,KO
385__2,4602,Ch D,LBar,385,KO
385__2,4602,Ch E,RVis,385,KO
385__2,4602,Ch F,LHip,385,KO
385__2,4602,Ch G,LVis,385,KO
385__2,4602,Ch H,RHip,385,KO
399__0,135,Ch A,RVis,399,KO
399__0,135,Ch B,RBar,399,KO
399__0,135,Ch C,RHip,399,KO
399__0,135,Ch D,LVis,399,KO
399__0,135,Ch E,LMot,399,KO
399__0,135,Ch F,LBar,399,KO
399__0,135,Ch G,RMot,399,KO
399__0,135,Ch H,LHip,399,KO
399__0,1582,Ch A,RMot,399,KO
399__0,1582,Ch B,LBar,399,KO
399__0,1582,Ch C,RHip,399,KO
399__0,1582,Ch D,RBar,399,KO
399__0,1582,Ch E,LHip,399,KO
399__0,1582,Ch F,RVis,399,KO
399__0,1582,Ch G,LVis,399,KO
399__0,1582,Ch H,LMot,399,KO
399__0,3395,Ch A,RHip,399,KO
399__0,3395,Ch B,RMot,399,KO
399__0,3395,Ch C,RBar,399,KO
399__0,3395,Ch D,LMot,399,KO
399__0,3395,Ch E,RVis,399,KO
399__0,3395,Ch F,LHip,399,KO
399__0,3395,Ch G,LBar,399,KO
399__0,3395,Ch H,LVis,399,KO
399__0,3733,Ch A,LBar,399,KO
399__0,3733,Ch B,RMot,399,KO
399__0,3733,Ch C,RVis,399,KO
399__0,3733,Ch D,LVis,399,KO
399__0,3733,Ch E,RBar,399,KO
399__0,3733,Ch F,LHip,399,KO
399__0,3733,Ch G,LMot,399,KO
399__0,3733,Ch H,RHip,399,KO
399__0,8989,Ch A,RHip,399,KO
399__0,8989,Ch B,LHip,399,KO
399__0,8989,Ch C,LVis,399,KO
399__0,8989,Ch D,LBar,399,KO
399__0,8989,Ch E,LMot,399,KO
399__0,8989,Ch F,RMot,399,KO
399__0,8989,Ch G,RVis,399,KO
399__0,8989,Ch H,RBar,399,KO
399__0,9710,Ch A,RMot,399,KO
399__0,9710,Ch B,LMot,399,KO
399__0,9710,Ch C,RHip,399,KO
399__0,9710,Ch D,RBar,399,KO
399__0,9710,Ch E,LHip,399,KO
399__0,9710,Ch F,RVis,399,KO
399__0,9710,Ch G,LBar,399,KO
399__0,9710,Ch H,LVis,399,KO
399__0,11887,Ch A,LBar,399,KO
399__0,11887,Ch B,LHip,399,KO
399__0,11887,Ch C,RBar,399,KO
399__0,11887,Ch D,LVis,399,KO
399__0,11887,Ch E,RMot,399,KO
399__0,11887,Ch F,RVis,399,KO
399__0,11887,Ch G,RHip,399,KO
399__0,11887,Ch H,LMot,399,KO
399__0,14080,Ch A,RHip,399,KO
399__0,14080,Ch B,RBar,399,KO
399__0,14080,Ch C,LBar,399,KO
399__0,14080,Ch D,LHip,399,KO
399__0,14080,Ch E,RVis,399,KO
399__0,14080,Ch F,RMot,399,KO
399__0,14080,Ch G,LMot,399,KO
399__0,14080,Ch H,LVis,399,KO
399__0,14336,Ch A,LBar,399,KO
399__0,14336,Ch B,LMot,399,KO
